"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc"
"0001002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,45,"DOCTORATE OR PROFESSIONAL DEGREE","SOME COLLEGE",0,0,53.5,77.5,"$50,001 TO $75,000",62500.5,0,0,60.043
"0001004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,48,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,56.28
"0001005C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.791
"0001010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,55,"MASTER'S DEGREE (MA, MS)","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,53.5,"$50,001 TO $75,000",62500.5,0,0,55.272
"0001011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,64.604
"0001012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,57,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,61.56,77.5,"$100,001 TO $200,000",150000.5,0,0,75.721
"0002003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,31,"SOME COLLEGE","SOME COLLEGE",0,0,NA,35.78,"$5,001 TO $10,000",7500.5,1,0,56.868
"0002004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,54.248
"0002005C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,38,46,"9TH - 12TH GRADE","8TH GRADE OR BELOW",1,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,45.572
"0002006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,29.6,"$15,001 TO $20,000",17500.5,1,1,50.804
"0002008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,34.95,29.6,"$30,001 TO $35,000",32500.5,0,0,40.064
"0002010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,41,"SOME COLLEGE","SOME COLLEGE",0,0,63.43,33.42,"$35,001 TO $40,000",37500.5,0,0,46.097
"0002011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,26,28,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,29.6,"$40,001 TO $50,000",45000.5,0,1,53.336
"0002012C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,2,36,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,59,NA,"$20,001 TO $25,000",22500.5,0,0,48.202
"0002018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,34.95,34.95,"$50,001 TO $75,000",62500.5,0,0,57.767
"0002019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,NA,NA,"$5,000 TO $5,000",5000,1,1,60.294
"0002022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,57.237
"0002024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,45.384
"0005004C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,27,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,29.6,"$10,001 TO $15,000",12500.5,1,1,47.284
"0005006C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.494
"0005009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,30,"9TH - 12TH GRADE","SOME COLLEGE",1,0,34.95,35.92,"$15,001 TO $20,000",17500.5,1,1,50.257
"0005011C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.933
"0005013C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,36,48,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,33.42,"$15,001 TO $20,000",17500.5,1,1,44.564
"0005016C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,46,50,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,29.6,"$10,001 TO $15,000",12500.5,1,1,40.922
"0005020C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,34,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,38.18,NA,"$20,001 TO $25,000",22500.5,1,1,29.047
"0005021C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,35,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$10,001 TO $15,000",12500.5,1,1,20.41
"0005025C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.928
"0006001C",0,"ASIAN",0,0,0,1,1,42,54,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,34.95,"$20,001 TO $25,000",22500.5,1,0,56.236
"0006002C",0,"ASIAN",0,0,0,1,1,42,45,"8TH GRADE OR BELOW","SOME COLLEGE",1,0,29.6,34.95,"$10,001 TO $15,000",12500.5,1,0,41.063
"0006003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,54.404
"0006005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,38,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,70.107
"0006007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,53.5,39.2,"$40,001 TO $50,000",45000.5,0,0,57.567
"0006010C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.92,"$15,001 TO $20,000",17500.5,0,0,48.924
"0006011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,29.6,35.78,"$25,001 TO $30,000",27500.5,0,0,47.199
"0006012C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$30,001 TO $35,000",32500.5,0,1,48.964
"0006014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,NA,"$5,001 TO $10,000",7500.5,1,1,32.045
"0006015C",0,"WHITE, NON-HISPANIC",1,0,0,0,4,30,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,0,55.45
"0006017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$35,001 TO $40,000",37500.5,0,0,65.741
"0006022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,26,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$10,001 TO $15,000",12500.5,1,1,53.687
"0007002C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,39,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,53.5,NA,"$50,001 TO $75,000",62500.5,0,0,52.035
"0007004C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,41,45,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","SOME COLLEGE",0,0,57.83,35.78,"$100,001 TO $200,000",150000.5,0,0,64.935
"0007006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,53.5,63.43,"$75,001 TO $100,000",87500.5,0,0,45.63
"0007008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,48.521
"0007009C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,46,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.78,"$100,001 TO $200,000",150000.5,0,0,41.637
"0007010C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.609
"0007013C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,45,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,NA,77.5,"$75,001 TO $100,000",87500.5,0,0,67.783
"0007015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,27,30,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,NA,35.92,"$50,001 TO $75,000",62500.5,0,0,53.501
"0007016C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.363
"0007017C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,47,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,61.241
"0007018C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,61.56,62.87,"$100,001 TO $200,000",150000.5,0,0,57.185
"0007020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,52,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,61.56,72.1,"$50,001 TO $75,000",62500.5,0,0,64.364
"0007022C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,38,48,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,52.54,53.5,"$50,001 TO $75,000",62500.5,0,0,59.207
"0007023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,60.025
"0009001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,38.18,NA,"$5,001 TO $10,000",7500.5,1,1,41.985
"0009002C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,36,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,NA,43.598
"0009003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,35.92,"$75,001 TO $100,000",87500.5,0,0,44.731
"0009005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,33.42,39.2,"$15,001 TO $20,000",17500.5,1,1,49.884
"0009007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,NA,35.92,"$15,001 TO $20,000",17500.5,0,0,34.44
"0009008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,39.2,"$50,001 TO $75,000",62500.5,0,0,42.962
"0009009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,30,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,38.18,"$30,001 TO $35,000",32500.5,0,0,52.571
"0009010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,34.95,"$75,001 TO $100,000",87500.5,0,0,55.383
"0009012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,NA,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,35.78,53.5,"$40,001 TO $50,000",45000.5,0,0,44.193
"0009013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,53.5,33.42,"$100,001 TO $200,000",150000.5,0,0,60.096
"0009014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,39.18,"$75,001 TO $100,000",87500.5,0,0,48.597
"0009017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,29.6,NA,"$15,001 TO $20,000",17500.5,0,1,52.825
"0009018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.18,"$40,001 TO $50,000",45000.5,0,0,35.802
"0009019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,48,"HIGH SCHOOL DIPLOMA/EQUIVALENT","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",1,0,35.78,NA,"$30,001 TO $35,000",32500.5,0,0,27.545
"0009020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,29,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,29.6,"$30,001 TO $35,000",32500.5,0,0,33.829
"0009022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,36,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,63.43,"$50,001 TO $75,000",62500.5,0,0,66.911
"0009024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,39.2,"$50,001 TO $75,000",62500.5,0,0,56.95
"0009026C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,35.92,"$75,001 TO $100,000",87500.5,0,0,43.744
"0010001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,NA,33.42,"$40,001 TO $50,000",45000.5,0,0,39.482
"0010002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,61.56,NA,"$15,001 TO $20,000",17500.5,0,0,56.505
"0010003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,35.92,"$10,001 TO $15,000",12500.5,1,1,54.888
"0010004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,48,"9TH - 12TH GRADE","NOT APPLICABLE",1,NA,NA,34.95,"$5,000 TO $5,000",5000,1,1,53.847
"0010006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,34.95,38.18,"$25,001 TO $30,000",27500.5,0,0,45.098
"0010007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,35.78,"$30,001 TO $35,000",32500.5,0,0,45.357
"0010008C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,29.6,"$20,001 TO $25,000",22500.5,0,0,27.493
"0010009C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,39,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$5,001 TO $10,000",7500.5,1,1,52.302
"0010010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,40.73
"0010011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.18,"$5,000 TO $5,000",5000,1,0,47.341
"0010012C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.467
"0010015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,33.42,34.95,"$75,001 TO $100,000",87500.5,0,0,48.33
"0010016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,41.401
"0010018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,48,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,61.56,59,"$100,001 TO $200,000",150000.5,0,0,63.365
"0010019C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.269
"0010020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,38.18,35.92,"$20,001 TO $25,000",22500.5,0,0,37.569
"0010022C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,44,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,NA,NA,"$15,001 TO $20,000",17500.5,1,0,47.232
"0010024C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.323
"0011002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,38,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,34.95,33.42,"$50,001 TO $75,000",62500.5,0,0,54.204
"0011003C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,35,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,61.28
"0011004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,49,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,59,35.63,"$100,001 TO $200,000",150000.5,0,0,60.838
"0011006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,39.2,"$20,001 TO $25,000",22500.5,0,0,50.8
"0011007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,33.42,"$75,001 TO $100,000",87500.5,0,0,55.124
"0011008C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,29,40,"9TH - 12TH GRADE","VOC/TECH PROGRAM",1,1,38.18,53.5,"$30,001 TO $35,000",32500.5,0,0,48.19
"0011009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$50,001 TO $75,000",62500.5,0,0,44.839
"0011010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,39.2,"$40,001 TO $50,000",45000.5,0,0,44.921
"0011011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,39,"9TH - 12TH GRADE","SOME COLLEGE",1,0,53.5,39.18,"$50,001 TO $75,000",62500.5,0,0,50.489
"0011012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.92,"$25,001 TO $30,000",27500.5,0,0,48.394
"0011013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,38.18,"$40,001 TO $50,000",45000.5,0,0,68.39
"0011014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,57.83,39.2,"$40,001 TO $50,000",45000.5,0,0,49.496
"0011017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,39.18,"$40,001 TO $50,000",45000.5,0,0,59.002
"0011018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,NA,"$15,001 TO $20,000",17500.5,1,0,46.051
"0011019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,37,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,53.5,"$50,001 TO $75,000",62500.5,0,0,49.446
"0011020C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,35,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,34.95,NA,"$75,001 TO $100,000",87500.5,0,0,58.752
"0011021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,42.981
"0011022C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.001
"0011023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,63.43,"$50,001 TO $75,000",62500.5,0,0,49.277
"0011024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,35.78,"$100,001 TO $200,000",150000.5,0,0,64.616
"0013007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,46,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,63.43,"$100,001 TO $200,000",150000.5,0,0,52.723
"0013009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,51,47,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,62.87,"$50,001 TO $75,000",62500.5,0,0,51.895
"0014001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"SOME COLLEGE","SOME COLLEGE",0,0,35.92,34.95,"$40,001 TO $50,000",45000.5,0,0,58.477
"0014002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,35,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,39.18,"$40,001 TO $50,000",45000.5,0,0,42.011
"0014003C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,36,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,37.67,"$30,001 TO $35,000",32500.5,0,NA,52.957
"0015001C",0,"NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.594
"0015003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$40,001 TO $50,000",45000.5,0,0,57.2
"0015004C",0,"WHITE, NON-HISPANIC",1,0,0,0,3,29,32,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,35.92,34.95,"$15,001 TO $20,000",17500.5,1,0,35.879
"0015006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,55,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,35.92,"$35,001 TO $40,000",37500.5,0,0,52.727
"0015007C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$15,001 TO $20,000",17500.5,1,1,44.301
"0015009C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.444
"0015010C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,62.417
"0015014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,36,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,59,48.69,"$50,001 TO $75,000",62500.5,0,0,51.634
"0015017C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.624
"0015019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,38,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,34.95,29.6,"$35,001 TO $40,000",37500.5,0,0,61.212
